Município,Equipes Abril/2007,Equipes Abril/2010,Equipes Abril/2013,Equipes Abril/2016,Equipes Abril/2019,Equipes Abril/2020,Equipes Abril/2021,Equipes Abril/2022,Equipes Abril/2023,população 2021,população 2020,população 2019,população 2016,população 2013,população 2010,população 2007,Qtd de UBS 2007,Qtd de UBS 2010,Qtd de UBS 2013,Qtd de UBS 2016,Qtd de UBS 2019,Qtd de UBS 2020,Qtd de UBS 2021,Qtd de UBS 2022,Qtd de UBS 2023
292700 RIO REAL,-,10,10,10,10,10,15,16,16,41.209,40.976,40.732,39.952,39.166,38.304,37.385,12,10,10,10,10,10,10,10,10
292710 RODELAS,-,4,4,4,4,4,7,7,7,9.548,9.442,9.331,8.974,8.614,8.220,7.799,4,4,5,5,5,5,5,5,5
292720 RUY BARBOSA,-,7,8,9,9,10,20,20,20,30.900,30.857,30.814,30.672,30.531,30.375,30.209,3,8,10,10,12,12,12,13,13
292730 SALINAS DA MARGARIDA,3,1,1,-,6,6,10,10,10,16.047,15.862,15.667,15.048,14.422,13.737,13.006,5,1,1,-,5,5,5,5,5
292740 SALVADOR,67,210,227,304,370,430,932,954,978,2.900.319,2.886.698,2.872.347,2.826.684,2.780.654,2.730.181,2.676.330,116,126,117,125,147,159,166,168,170
292750 SANTA BARBARA,-,1,7,8,8,8,8,12,12,20.971,20.883,20.791,20.497,20.202,19.877,19.531,5,1,7,7,7,7,8,8,8
292760 SANTA BRIGIDA,-,-,-,7,7,7,12,12,13,13.917,14.063,14.213,14.698,15.184,15.721,16.292,1,2,2,8,7,7,7,7,7
292770 SANTA CRUZ CABRALIA,9,10,10,10,11,13,23,25,25,28.058,27.922,27.778,27.319,26.859,26.353,25.813,11,10,10,10,11,14,15,14,14
292780 SANTA CRUZ DA VITORIA,2,2,2,3,3,3,5,5,5,6.241,6.278,6.315,6.436,6.557,6.691,6.833,1,2,2,2,2,2,3,3,3
292790 SANTA INES,5,5,5,6,6,6,9,10,10,10.583,10.606,10.631,10.708,10.788,10.872,10.965,3,3,3,4,4,5,5,5,5
292800 SANTALUZ,4,3,7,10,11,11,18,18,19,37.704,37.531,37.348,36.769,36.186,35.543,34.859,17,3,7,9,10,10,11,11,12
292805 SANTA LUZIA,5,6,6,6,7,7,11,11,12,12.308,12.449,12.597,13.065,13.538,14.056,14.611,5,5,5,5,5,5,5,5,5
292810 SANTA MARIA DA VITORIA,-,10,12,14,17,17,26,23,24,39.707,39.775,39.845,40.073,40.302,40.552,40.820,9,10,12,13,14,14,15,15,14
292820 SANTANA,3,2,4,4,8,8,13,13,13,26.792,26.705,26.614,26.322,26.029,25.708,25.365,3,2,3,3,7,7,7,7,7
292830 SANTANOPOLIS,2,-,1,4,4,4,6,7,7,8.987,8.966,8.943,8.873,8.802,8.724,8.640,2,-,1,3,3,3,3,3,3
292840 SANTA RITA DE CASSIA,6,7,9,13,14,14,20,20,20,28.613,28.481,28.338,27.891,27.438,26.942,26.414,6,6,8,9,10,10,10,10,10
292850 SANTA TERESINHA,4,4,5,5,5,5,9,10,10,10.520,10.464,10.405,10.219,10.032,9.825,9.605,4,4,4,4,4,4,4,5,6
292860 SANTO AMARO,-,13,15,14,16,16,33,30,31,60.190,60.131,60.069,59.872,59.674,59.457,59.227,4,13,14,13,15,16,17,17,17
292870 SANTO ANTONIO DE JESUS,19,24,24,24,25,25,43,46,56,103.204,102.380,101.512,98.750,95.966,92.913,89.654,22,23,24,24,26,26,26,26,26
292880 SANTO ESTEVAO,10,13,15,16,18,18,33,35,36,53.666,53.269,52.850,51.516,50.173,48.699,47.126,10,11,12,13,14,14,14,14,14
292890 SAO DESIDERIO,-,5,5,10,13,12,25,26,27,34.764,34.266,33.742,32.074,30.390,28.546,26.579,4,6,6,15,14,14,15,16,17
292895 SAO DOMINGOS,-,2,3,3,4,4,10,11,10,9.085,9.072,9.058,9.011,8.963,8.911,8.857,5,5,6,3,6,6,7,7,7
292900 SAO FELIX,6,6,6,6,6,6,12,12,12,14.784,14.762,14.740,14.670,14.598,14.520,14.436,6,6,6,6,6,6,6,6,6
292905 SAO FELIX DO CORIBE,5,5,4,8,8,8,15,14,14,15.543,15.468,15.391,15.144,14.892,14.617,14.325,5,5,5,7,8,8,8,8,8
